title;bookID;author;rating;ratingsCount;reviewsCount;reviewerName;reviewerRating
John Lear (Scene ouverte) (French Edition);2085;Michel Deutsch;0;0;0;Danit;3
Before The Mayflower A History of Black America;4829;Lerone Bennett Jr.;04.41;1914;50;Danit;2
Out-of-Body Exploring: A Beginner's Approach;2083;Preston Dennett;03.05;16;2;Danit;3
Pompeii...Buried Alive!;881;Edith Kunhardt Davis;0,190277778;2137;55;Danit;3
Pompeii;880;Robert   Harris;0,179861111;27116;1851;Riyan;1
Monsters Are Afraid of the Moon;9527;Marjane Satrapi;0,167361111;287;47;Elsa;4
Classical Ballet Terms, an Illustrated Dictionary.;9211;Richard Glasstone;0;0;0;Riyan;5
Ballet Stories: Cappelia, Giselle, Sleeping Beauty, the Nutcracker, Swann Lake (Classic Literature With Classical Music. Children's Favorites);9209;David Angus;5;4;1;Riyan;4
Dance as Life;9208;Franklin Stevens;03.56;9;0;Riyan;4
Save D.A.D. (Scrambled Legs, #6);9210;Jahnna N. Malcolm;03.27;15;0;Sageri;2
Frederick Ashton and His Ballets;9213;David Vaughan;04.05;2;1;Sageri;3
Ballet;9206;Kate Castle;04.08;37;4;Danit;2
The BalleCore® Workout: Integrating Pilates, Hatha Yoga, and Ballet in an Innovative Exercise Routine for All Fitness Levels;9212;Molly Weeks;03.05;22;4;Sageri;2
The Classic Ballet: Basic Technique and Terminology;9214;Lincoln Kirstein;04.05;37;3;Cahyono;4
Freak: a semi-demi-quasi-pseudo autobiography;8999;John Leguizano;0,168055556;107;12;Teddy;4
Days Between Stations;7865;Steve Erickson;04.03;730;56;Elsa;5
The Moonstones;6145;Jean Thesman;0,182638889;46;4;Cahyono;5
Bleach, Volume 01;2880;Tite Kubo;04.21;122808;933;Choddy;1
Tom Hunter: Living in Hell and Other Stories;2877;Tom Hunter;03.55;40;0;Rifki;4
The Lady and the Unicorn;2874;Tracy Chevalier;0,171527778;35497;1644;Abdul Aziz;2
Wenn Engel fallen;2875;Tracy Chevalier;03.55;20070;1265;Abdul Aziz;3
The Virgin Blue;2873;Tracy Chevalier;0,170138889;24953;1589;Umar Jamil;5
Bleach, Volume 15;2879;Tite Kubo;04.41;17467;65;Randi;4
Falling Angels;2876;Tracy Chevalier;03.55;20071;1265;Randi;3
Falling Angels;2872;Tracy Chevalier;03.55;20071;1265;Dirga;2
La Dama y El Unicornio;2878;Tracy Chevalier;0,171527778;35497;1644;Witsqadianto;1
World that is the Book: Paul Auster�s Fiction;471;Aliki Varvogli;03.05;6;1;Witsqadianto;5
Paul Auster (Bloom's Modern Critical Views);469;Harold Bloom;0,177083333;8;0;Danit;3
The Art of Hunger: Essays, Prefaces, Interviews, The Red Notebook;470;Paul Auster;0,184027778;444;12;Danit;3
Hot Money;8567;Dick Francis;04.01;3983;172;Danit;3
For Kicks;8569;Dick Francis;0,191666667;2963;89;Danit;2
Bonecrack;8566;Dick Francis;0,191666667;2843;85;Riyan;1
The Danger;8571;Dick Francis;0,19375;3132;143;Elsa;2
Bonecrack;8570;Dick Francis;0,191666667;2843;85;Riyan;2
Odds Against (Sid Halley, #1);8568;Dick Francis;04.03;3718;131;Teddy;5
Banker;8572;Dick Francis;4;3196;137;Firdaus B;2
Conscience and Conflict: A Trilogy of One-Actor Plays: Thomas Merton, Pope John XXIII, Martin Luther;7100;Anthony T. Padovano;3;1;0;Firdaus B;1
The Coming Fury;7096;Bruce Catton;04.29;2003;71;Youga P;3
Torch Song Trilogy;7097;Harvey Fierstein;04.18;1807;23;Reyhan R;3
U.S.A.: 42e Parallèle/L'An premier du siècle/La Grosse galette;7102;John dos Passos;04.09;4086;148;Youga P;5
The Overmountain Men (Tennessee Frontier Trilogy, #1);7099;Cameron Judd;0,192361111;86;5;Elsa;1
The Big Money (U.S.A., #3);7103;John dos Passos;04.04;1953;117;Riyan;5
Hard Rain (Code Red #16);924;Darlene Scalera;04.41;17;0;Teddy;3
1776;1067;David McCullough;04.06;138721;6065;Firdaus B;5
Terrible Swift Sword: The Centennial History of the Civil War Series, Volume 2;7098;Bruce Catton;04.34;1324;33;Firdaus B;4
The 42nd Parallel (U.S.A., #1);7101;John dos Passos;0,183333333;4805;302;Youga P;4
Risky Business - Smoke Jumper (Risky Business);9286;Keith Elliot Greenberg;0;0;0;Reyhan R;4
Brigadas Aereas Contraincendios = Smoke Jumpers;9287;Joanne Mattern;0;0;0;Youga P;1
This Is the Day;6986;Sue Monk Kidd;3;2;0;Elsa;5
Smoke Jumpers;9285;Paul  Freeman;0,190277778;18;2;Riyan;1
All Things Are Possible;6985;Sue Monk Kidd;03.21;42;0;Teddy;1
With Open Hands;6984;Henri J.M. Nouwen;04.28;767;79;Firdaus B;1
God's Joyful Surprise: Finding Yourself Loved;6982;Sue Monk Kidd;0,179861111;284;15;Firdaus B;1
La casa de los espíritus;9288;Isabel Allende;04.02;142081;5366;Youga P;5
El Plan Infinito;9289;Isabel Allende;03.07;7985;357;Reyhan R;2
Love's Hidden Blessings: God Can Touch Your Life When You Least Expect It;6983;Sue Monk Kidd;03.46;13;1;Youga P;2
Programming Ruby: The Pragmatic Programmer's Guide;516;Dave Thomas;04.06;1713;73;Elsa;3
Charles Dickens: Four Novels:  Great Expectations, Hard Times, A Christmas Carol  and A Tale of Two Cities;1982;Charles Dickens;04.28;3150;48;Riyan;1
The Ultimate Hitchhiker's Guide to the Galaxy;13;Douglas Adams;04.38;240354;4325;Teddy;2
Bleak House;1984;Charles Dickens;4;76780;3192;Firdaus B;4
Hard Times  ;1983;Charles Dickens;03.05;42768;2170;Firdaus B;5
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1);11;Douglas Adams;04.02;1015984;20821;Youga P;5
David Copperfield;1985;Charles Dickens;0,191666667;166084;4718;Reyhan R;4
Oliver Twist;1986;Charles Dickens;0,184027778;256780;5406;Youga P;2
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5);12;Douglas Adams;04.38;240369;4326;Elsa;1
Great Jones Street;407;Don DeLillo;03.47;2440;160;Riyan;1
At the Beach House: A Guest Book;7516;Sandy Gingras;4;4;0;Teddy;4
Palm Beach Houses;7513;Roberto Schezen;04.05;6;0;Firdaus B;5
Beach House Cooking: Good Food for the Great Outdoors;7518;Charles Pierce;04.22;9;0;Firdaus B;5
Beach Houses: Andrew Geller;7517;Alastair Gordon;04.05;6;2;Youga P;5
Beach Houses Down Under;7514;Stephen Crafti;1;1;0;Reyhan R;2
The Beach House;7515;James Patterson;0,181944444;70789;1639;Youga P;3
The Illustrated Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time;4805;Dava Sobel;0,190972222;42783;1949;Elsa;2
The Log from the Sea of Cortez;4803;John Steinbeck;0,182638889;3414;292;Riyan;2
Longitude;4804;Dava Sobel;0,190972222;42783;1949;Teddy;2
Paul Auster and Postmodern Quest: On the Road to Nowhere;465;Chippy M.L. Den Irvine;3;1;0;Firdaus B;2
Timbuktu / Leviathan / Moon Palace;466;Paul Auster;04.33;15;1;Firdaus B;5
Collected Poems;464;Paul Auster;03.59;214;17;Youga P;4
An Art of Desire;468;Bernd Herzogenrath;0,177083333;4;0;Reyhan R;1
Murder by Moonlight & Other Mysteries (New Adventures of Sherlock Holmes 19-24);3593;Anthony Boucher;4;12;2;Youga P;4
Why Write?;472;Paul Auster;0,177083333;121;12;Elsa;2
The Execution of Sherlock Holmes: And Other New Adventures of the Great Detective (Sherlock Holmes, #3);3594;Donald Thomas;0,177083333;356;49;Riyan;1
El libro de las ilusiones;467;Paul Auster;0,186805556;16584;907;Teddy;2
The Mysteries of Sherlock Holmes (Illustrated Junior Library);3595;Arthur Conan Doyle;04.32;115;8;Firdaus B;1
The Fall of the Amazing Zalindas  (Sherlock Holmes and the Baker Street Irregulars #1);3592;Tracy Mack;03.08;854;118;Firdaus B;2
Eden in the East: The Drowned Continent of Southeast Asia;4411;Stephen Oppenheimer;0,193055556;80;13;Youga P;4
The Grapes of Wrath/The Moon is Down/Cannery Row/East of Eden/Of Mice & Men;4410;John Steinbeck;04.26;1816;58;Reyhan R;1
East of Eden;4408;John Steinbeck;04.35;340512;14697;Youga P;4
The al-Qaeda Threat: An Analytical Guide to al-Qaeda's Tactics & Targets;4319;Ben Venzke;02.05;2;0;Elsa;3
The Travels of the Prophet Ibrahim (Quran Stories for Little Hearts);4316;Saniyasnain Khan;5;1;0;Riyan;4
Under God;4409;Garry Wills;0,16875;93;10;Teddy;3
Monsieur Ibrahim and The Flowers of the Qur'an;4318;Éric-Emmanuel Schmitt;03.08;7675;490;Firdaus B;2
Other Place;4317;Ibrahim Abdel Meguid;03.52;420;53;Firdaus B;5
East of Eden;4406;John Steinbeck;04.35;340522;14698;Youga P;1
American Gods (American Gods, #1);4407;Neil Gaiman;04.11;534124;28576;Reyhan R;3
The Guitar Chord Wheel Book: Over 22,000 Chords!;725;Hal Leonard Publishing Company;0,182638889;6;0;Youga P;4
Red Hot Chili Peppers;726;Hal Leonard Publishing Company;4;5;0;Elsa;4
Guitar Chord Bible;724;Phil Capone;04.23;69;3;Riyan;1
Mel Bay's Complete Book of Guitar Chords, Scales and Arpeggios;730;William Bay;04.07;14;2;Teddy;5
Jazz Guitar Chord Solos;727;Ron Berman;0,186111111;8;0;Firdaus B;1
Mel Bays Guitar Chords;728;Mel Bay;04.05;14;1;Firdaus B;4
The Ultimate Guitar Chord Big Book: Over 100,000 Chords!;729;Don Latarski;0;0;0;Youga P;5
Ghost Stories of the Rockies, Volume II;6361;Barbara Smith;03.02;10;3;Reyhan R;3
Greek Historians;9068;John M. Marincola;0,174305556;7;1;Youga P;5
In the Heart of the Rockies;6362;G.A. Henty;0,172916667;227;11;Elsa;4
Language is Sermonic: Richard M. Weaver on the Nature of Rhetoric;5663;Richard L. Johannesen;04.25;20;1;Riyan;3
Richard M. Weaver, 1910-1963: A Life of the Mind;5666;Fred D. Young;4;1;1;Teddy;2
Ethics And Rhetoric Of The Chinese Cultural Revolution;5672;Lowell Dittmer;5;1;0;Firdaus B;1
The Ethics of Rhetoric;5671;Richard M. Weaver;04.09;57;7;Firdaus B;4
Barbarians in the Saddle: An Intellectual Biography of Richard M. Weaver;5668;Joseph Scotchie;0;0;0;Youga P;3
Steps Toward Restoration: The Consequences of Richard Weaver's Ideas;5670;Marion Montgomery;4;4;0;Reyhan R;1
The Southern Essays of Richard M Weaver;5664;Richard M. Weaver;04.24;46;6;Youga P;5
In Defense of Tradition;5667;Richard M. Weaver;04.38;24;1;Elsa;1
Ideas Have Consequences;5665;Richard M. Weaver;04.19;892;99;Riyan;5
Interface Oriented Design;4101;Kenneth Pugh;03.59;46;4;Teddy;2
Blink 182: The Unauthorised Biography in Words and Pictures;4107;Tim Footman;3;4;0;Firdaus B;4
I Wonder Why I Blink: And Other Questions About My Body;4108;Brigid Avison;0,190972222;40;2;Firdaus B;5
Rosencrantz and Guildenstern are Dead;4109;Tom Stoppard;04.06;70289;1579;Youga P;2
Blink;4105;Ted Dekker;04.17;14151;753;Reyhan R;3
Blink: The Power of Thinking Without Thinking;4104;Malcolm Gladwell;0,186805556;366241;12358;Youga P;2
My Job Went to India;4103;Chad Fowler;0,189583333;152;14;Elsa;4
After Many a Summer Dies the Swan;5136;Aldous Huxley;0,177083333;2018;157;Riyan;3
Practices of an Agile Developer: Working in the Real World;4102;Venkat Subramaniam;0,185416667;797;52;Teddy;4
Blink 182;4106;Anne Hoppus;04.43;54;5;Firdaus B;1
Wartime Writings 1939-1944;8838;Antoine de Saint-Exupéry;0,190277778;99;9;Firdaus B;1
Wind, Sand and Stars;8837;Antoine de Saint-Exupéry;04.19;8942;787;Youga P;4
Flight to Arras;8839;Antoine de Saint-Exupéry;0,188888889;1512;117;Reyhan R;2
The Little Prince;8844;Antoine de Saint-Exupéry;04.28;876873;25079;Youga P;5
Saint-Exupéry;8840;Stacy Schiff;4;235;27;Elsa;1
Airman's Odyssey;8843;Antoine de Saint-Exupéry;04.17;156;14;Riyan;5
The Tale of the Rose: The Love Story Behind The Little Prince;8841;Consuelo de Saint-Exupéry;0,176388889;571;71;Teddy;5
The Alchemist;864;Paulo Coelho;0,181944444;1436844;56727;Firdaus B;3
Night Flight;8842;Antoine de Saint-Exupéry;0,179861111;4963;316;Firdaus B;1
Interpreting 16 Pf Profile Patterns;3375;Samuel E. Krug;04.05;2;0;Youga P;4
Laura Ingalls Wilder: A Storybook Life;8339;Janet Benge;0,190277778;48;4;Reyhan R;2
Laura Ingalls Wilder: An Author's Story;8338;Sarah J. Glassock;4;5;2;Youga P;1
The Road Less Traveled: A New Psychology of Love, Traditional Values, and Spiritual Growth;347852;M. Scott Peck;04.03;67622;1735;Elsa;2
Founding Brothers: The Revolutionary Generation;7493;Joseph J. Ellis;0,188888889;33098;1531;Riyan;2
Little House in the Big Woods (Little House, #1);8337;Laura Ingalls Wilder;04.16;180843;4204;Teddy;4
Let the Hurricane Roar;8335;Rose Wilder Lane;0,191666667;2790;136;Firdaus B;1
People of the Lie: The Hope for Healing Human Evil;4451;M. Scott Peck;0,191666667;5799;424;Firdaus B;3
Farmer Boy Days (Little House Chapter Books: Laura, #6);8336;Laura Ingalls Wilder;04.16;379;34;Youga P;1
Suzanne's Diary for Nicholas;7494;James Patterson;04.16;124786;4302;Reyhan R;4
Twelve Steps For Overeaters: An Interpretation Of The Twelve Steps Of Overeaters Anonymous;3057;Elisabeth L.;03.42;24;1;Youga P;2
Alcoholics Anonymous;3058;Alcoholics Anonymous;04.43;6130;325;Elsa;5
Selected Plays of George Bernard Shaw;7713;George Bernard Shaw;0,189583333;27;2;Riyan;3
First Love and the Diary of a Superfluous Man;3534;Ivan Turgenev;0,19375;117;11;Teddy;5
The Twelve Steps and Twelve Traditions of Overeaters Anonymous;3056;Overeaters Anonymous;04.33;273;14;Firdaus B;2
The Metamorphosis;7717;Peter Kuper;0,179166667;423657;10548;Firdaus B;5
Twelve Steps and Twelve Traditions;3059;Alcoholics Anonymous;04.48;4070;88;Youga P;2
Pygmalion;7714;George Bernard Shaw;03.09;76151;1693;Reyhan R;1
Plays Pleasant;7716;George Bernard Shaw;0,189583333;262;14;Youga P;5
Effective Habits of the Five People You Meet in Heaven;3432;Steven L. Kellmeyer;04.13;8;0;Elsa;3
Sex and the Perfect Lover: Tao, Tantra, and the Kama Sutra;6609;Mabel Iam;03.31;101;8;Riyan;1
Las cinco personas que encontrarás en el cielo;3434;Mitch Albom;03.09;477474;16874;Teddy;3
The Complete Idiot's Guide to Amazing Sex;6610;Sari Locker;03.54;67;4;Firdaus B;2
Les cinq personnes que j'ai rencontrees la-haut;3435;Mitch Albom;03.09;477463;16874;Firdaus B;3
Sex and the City;6612;Candace Bushnell;03.38;42950;1639;Youga P;4
Why Do Men Fall Asleep After Sex? More Questions You'd Only Ask a Doctor After Your Third Whiskey Sour;6611;Mark Leyner;03.55;1143;110;Reyhan R;2
Redwall (Redwall, #1);8005;Brian Jacques;04.11;82862;2939;Youga P;4
Los Versos Satánicos;9866;Salman Rushdie;0,174305556;43459;3099;Elsa;5
Wisdom from the Five People You Meet in Heaven;3433;Brandon Gilvin;03.08;170;16;Riyan;1
The Invention of Solitude: A Memoir;452;Paul Auster;0,181944444;7357;712;Teddy;4
Travels in the Scriptorium;454;Paul Auster;03.22;7328;691;Firdaus B;2
Oracle Night;458;Paul Auster;0,178472222;11265;651;Firdaus B;4
The Music of Chance;453;Paul Auster;0,186805556;7845;378;Youga P;2
In the Country of Last Things;455;Paul Auster;03.09;8018;599;Reyhan R;3
The Random House Book of 20th Century French Poetry;459;Paul Auster;04.53;158;10;Youga P;4
El hombre duplicado;2538;José Saramago;0,183333333;10308;814;Elsa;5
True Tales of American Life;451;Paul Auster;0,184722222;2565;292;Riyan;5
Auggie Wren's Christmas Story;457;Paul Auster;0,184027778;1114;113;Teddy;3
Leviathan;456;Paul Auster;0,190972222;11973;521;Firdaus B;3
The Big Room;4350;Michael Herr;03.05;4;1;Firdaus B;2
The Bones of the Kuhina Nui;4348;Michael A. Herr;0,172222222;22;6;Youga P;4
Kubrick;4347;Michael Herr;0,184722222;328;32;Reyhan R;3
Hello! Is That Grandma?;4352;Ian Whybrow;03.45;64;19;Youga P;3
Hello to All That: A Memoir of Zoloft, War, and Peace;4353;John Falk;0,190277778;120;19;Elsa;3
Dispatches from the Tenth Circle: The Best of the Onion;4346;The Onion;04.02;3250;28;Riyan;5
What's Up with That Cup?;4354;Sheila Keenan;03.44;9;1;Teddy;2
Dispatches;4345;Michael Herr;04.23;11908;768;Firdaus B;3
Winchell: A Novel;4351;Michael Herr;0,151388889;44;4;Firdaus B;4
Dispatches;4349;Michael Herr;04.23;11908;768;Youga P;5
The Articulate Executive;3310;Harvard Business School Press;04.05;4;0;Reyhan R;5
Articulate Executive;1228801;Fernando Bartolome;0;0;1;Youga P;4
Self;3311;Yann Martel;03.04;2269;159;Elsa;4
Die Brücke über die Drina;3316;Ivo Andrić;04.32;9952;671;Riyan;5
Schiffbruch mit Tiger;3312;Yann Martel;0,186111111;1083961;43241;Teddy;4
The Bridge on the Drina;3318;Ivo Andrić;04.32;9952;671;Firdaus B;4
Life of Pi;3315;Yann Martel;0,186111111;1083961;43241;Firdaus B;1
Pi'nin Yaşamı;3314;Yann Martel;0,186111111;1083961;43241;Youga P;3
The Wealthy Barber: The Common Sense Guide to Successful Planning (Special Golden Edition);2675;David H. Chilton;0,193055556;5879;297;Reyhan R;4
The Bridge on the Drina;3317;Ivo Andrić;04.32;9952;671;Youga P;4
Awakening at Midlife: A Guide to Reviving Your Spirit, Recreating Your Life, and Returning to Your Truest Self;7586;Kathleen A. Brehony;0,190277778;64;8;Elsa;2
Awakening the Spine;7587;Vanda Scaravelli;04.28;221;21;Riyan;2
Iran Awakening;7580;Shirin Ebadi;04.12;3403;403;Teddy;2
The Book of Awakening: Having the Life You Want by Being Present to the Life You Have;7581;Mark Nepo;04.31;4190;271;Firdaus B;5
A Portrait of the Artist as a Young Man;7589;James Joyce;0,167361111;104348;4011;Firdaus B;5
A Portrait of the Artist as a Young Man;7588;James Joyce;0,167361111;104338;4011;Youga P;1
Awakening Intuition: Using Your Mind-Body Network for Insight and Healing;7582;Mona Lisa Schulz;0,185416667;292;29;Reyhan R;2
The Grace Awakening: Believing in Grace Is One Thing. Living it Is Another;7584;Charles R. Swindoll;04.32;2029;90;Youga P;4
Centering Prayer and Inner Awakening;7583;Cynthia Bourgeault;04.32;716;69;Elsa;4
Living with Death and Dying;2234;Elisabeth Kübler-Ross;04.08;151;8;Riyan;4
Death and Dying: Life and Living [With Infotrac];2235;Clyde M. Nabe;03.08;51;3;Teddy;2
Mahatma Gandhi, A Biography (1st);2239;Pyarelal Nayyar;5;1;0;Firdaus B;3
Spring's Awakening;7585;Frank Wedekind;0,181944444;4704;235;Firdaus B;4
Radiology for Anaesthesia and Intensive Care;2237;Richard Hopkins;0;0;0;Youga P;1
Tai Chi Chuan: Aplicaciones Marciales:  Estilo Yang Avanzado De Tai Chi Chuan;2240;Yang Jwing-Ming;0;0;0;Reyhan R;5
The Gandhi Quartet;2238;Chaman Nahal;4;2;0;Youga P;2
Mahatma Gandhi and His Myths: Civil Disobedience, Nonviolence, and Satyagraha in the Real World (Plus Why It's Gandhi, Not Ghandi);2236;Mark Shepard;0,168055556;257;18;Elsa;4
The Secret Society of the Illuminati;4245;Thomas Frost;3;1;0;Riyan;2
Shoot The Moon: The Screenplay.;6950;Bo Goldman;0,213194444;3;1;Teddy;3
The Goddess Rules;3633;Clare Naylor;03.47;546;45;Firdaus B;3
Bread Givers;3637;Anzia Yezierska;0,172916667;4018;376;Firdaus B;1
The Dream Giver;3635;Bruce H. Wilkinson;04.23;4785;384;Youga P;1
Dog Handling;3632;Clare Naylor;03.47;2561;84;Reyhan R;1
Catching Alice;3631;Clare Naylor;03.32;852;26;Youga P;5
The Giver (The Giver, #1);3636;Lois Lowry;04.12;1355385;54776;Elsa;5
A Reading Guide to The Giver (Scholastic Bookfiles);3634;Jeannette Sanderson;04.22;18;0;Riyan;2
The Wish Giver: Three Tales of Coven Tree;3638;Bill Brittain;0,183333333;2137;234;Teddy;3
Basic Economics [With Infotrac and Access Code];3026;Frank V. Mastrianna;0,140972222;6;0;Firdaus B;2
Quotations of Thomas Jefferson;8507;Thomas Jefferson;04.33;24;3;Firdaus B;3
Palimpsest;8715;Gore Vidal;4;1451;92;Youga P;5
Perpetual War for Perpetual Peace;8717;Gore Vidal;0,18125;1419;92;Reyhan R;5
Lincoln;8716;Gore Vidal;04.19;7109;433;Youga P;1
The Jefferson Bible: The Life and Morals of Jesus of Nazareth;8508;Thomas Jefferson;0,18125;1789;172;Elsa;5
A Thomas Jefferson Education: Teaching a Generation of Leaders for the Twenty-first Century;8509;Oliver DeMille;04.19;3090;570;Riyan;2
Economic Literacy: Basic Economics with an Attitude;3027;Frederick S. Weaver;03.44;16;2;Teddy;4
Who Was Thomas Jefferson?;8510;Dennis Brindell Fradin;04.03;466;56;Firdaus B;3
Passions: The Wines and Travels of Thomas Jefferson;8511;James M. Gabler;04.04;23;1;Firdaus B;5
Mixing: Catholic-Protestant Marriages in the 1980's: A Guidebook for Couples and Families;1615;Barbara D. Schiappa;0;0;0;Youga P;1
Gracchus Babeuf Avec Les Egaux;1616;Jean-Marc Schiappa;0;0;0;Reyhan R;3
The Color of Love: An Artist's Book of Poetry and Passion;2890;Marielle Bancou;4;1;0;Youga P;2
The Curious Incident of the Dog in the Night-Time;1618;Mark Haddon;0,184027778;923916;36185;Elsa;1
The Love-Artist;2889;Jane Alison;03.28;537;103;Riyan;3
Night;1619;Elie Wiesel;04.03;718772;22557;Teddy;4
Night (The Night Trilogy #1);1617;Elie Wiesel;04.03;718697;22554;Firdaus B;2
The Night Gardener;1620;George Pelecanos;0,168055556;4291;418;Firdaus B;5
A Midsummer Night's Dream;1622;William Shakespeare;0,190277778;365994;5829;Youga P;1
Friday Night Lights: A Town, a Team, And a Dream;1621;H.G. Bissinger;04.11;40317;1925;Reyhan R;1
Sweet dreams: Heirloom quilts for babies;3137;Deborah Gordon;0;0;0;Youga P;3
Between Friends.;3121;Deborah Gordon;0;0;0;Elsa;5
Who Shot Ya?: Three Decades of HipHop Photography;6686;Kevin Powell;04.19;26;2;Riyan;2
On Political Equality;6688;Robert A. Dahl;03.59;37;6;Teddy;1
Charlie and the Great Glass Elevator (Charlie Bucket, #2);6687;Roald Dahl;0,170138889;71131;1961;Firdaus B;2
My Uncle Oswald;6691;Roald Dahl;0,188194444;8175;706;Firdaus B;5
Ants at Work: How an Insect Society is Organized;3139;Deborah M. Gordon;0,186805556;114;18;Youga P;3
Ya-Yas in Bloom;6685;Rebecca Wells;03.06;11455;523;Reyhan R;5
James and the Giant Peach;6689;Roald Dahl;0,19375;293910;5241;Youga P;2
Danny the Champion of the World;6690;Roald Dahl;04.07;45766;1895;Elsa;2
Open City 6: The Only Woman He Ever Left;3351;Open City Magazine;0;0;0;Riyan;4
Wonderous Mushroom: Sacred Mushrooms In Mexico And Mesoamerica.;3350;R. Gordon Wasson;04.21;19;2;Teddy;1
The Shaping of America: A Geographical Perspective on 500 Years of History: Volume 2: Continental America, 1800-1867;7415;D.W. Meinig;04.13;23;2;Firdaus B;1
If I Don't Write It Nobody Else Will: An Autobiography;7003;Eric Sykes;0,183333333;124;19;Firdaus B;3
When Buildings Speak: Architecture as Language in the Habsburg Empire and Its Aftermath, 1867-1933;7414;Anthony Alofsin;03.05;6;1;Youga P;5
Cheyenne: 1867 to 1903: A Biography of the Magic City of the Plains;7413;Bill O'Neal;3;1;0;Reyhan R;5
Imperial Germany 1867-1918: Politics, Culture, and Society in an Authoritarian State;7411;Wolfgang J. Mommsen;02.05;2;0;Youga P;2
Visions Of Love: Anthology Of Reflections;7002;William Sykes;3;1;0;Elsa;2
Creating the 20th Century: Technical Innovations of 1867-1914 and Their Lasting Impact;7412;Vaclav Smil;04.22;78;7;Riyan;5
A Monetary History of the United States 1867-1960;7410;Milton Friedman;04.01;296;7;Teddy;1
Frances Hodgson Burnett: The Unexpected Life of the Author of the Secret Garden;3005;Gretchen Holbrook Gerzina;0,186805556;36;5;Firdaus B;5
The Secret Garden (Classic Starts Series);3004;Martha Hailey DuBose;04.28;1035;57;Firdaus B;1
Introducing the Little Prince: Board Book Gift Set;8846;Antoine de Saint-Exupéry;04.43;68;5;Youga P;3
Plays 1: Gasping / Silly Cow / Popcorn;8835;Ben Elton;03.09;31;2;Reyhan R;3
Inconceivable;8833;Ben Elton;03.55;3833;156;Youga P;5
A Guide for Grown-ups: Essential Wisdom from the Collected Works of Antoine de Saint-Exupéry;8836;Antoine de Saint-Exupéry;04.21;476;36;Elsa;4
This Other Eden;8834;Ben Elton;03.07;2208;77;Riyan;4
Popcorn;8830;Ben Elton;03.48;5129;190;Teddy;5
The First Casualty;8832;Ben Elton;0,182638889;3315;213;Firdaus B;2
Blast from the Past;8831;Ben Elton;03.42;2644;102;Firdaus B;3
Tail Code USAF: The Complete History of USAF Tactical Aircraft Tail Code Markings;4850;Patrick Martin;0;0;0;Youga P;5
Securing the Network from Malicious Code: A Complete Guide to Defending Against Viruses, Worms, and Trojans;4851;Douglas Schweitzer;4;1;0;Reyhan R;4
The Roll-Call;4856;Arnold Bennett;0,172222222;19;2;Youga P;4
Martimus at Midnight;9473;Alina Klein;04.25;12;4;Elsa;3
Ria Internal Revenue Code August 2005: July Code (Complete Internal Revenue Code July);4852;RIA;0;0;0;Riyan;2
2003 International Codes: The Complete Collection, Version 1.0 (International Codes);4853;International Code Council;0;0;0;Teddy;4
Midnight's Children;14836;Salman Rushdie;0,19375;85434;5001;Firdaus B;5
Midnight for Charlie Bone (The Children of the Red King, #1);9475;Jenny Nimmo;0,179861111;34360;1663;Firdaus B;4
Code Complete: Um Guia Prático Para A Construção De Software;4854;Steve McConnell;04.28;6639;319;Youga P;5
How to Live on 24 Hours a Day;4855;Arnold Bennett;0,169444444;3402;406;Reyhan R;2
Planet of the Apes: The Human War;8887;Ian Edginton;03.38;29;4;Youga P;5
Planet of the Apes: Rule;8890;J.E. Bright;04.05;2;1;Elsa;2
Return to the Planet of the Apes:  Visions from Nowhere (#1);8891;William Arrow;03.36;11;1;Riyan;2
Starman Jones;351;Robert A. Heinlein;0,181944444;6419;211;Teddy;1
Stranger in a Strange Land;350;Robert A. Heinlein;0,188194444;231521;6377;Firdaus B;2
The Moon is a Harsh Mistress;349;Robert A. Heinlein;04.17;87630;2833;Firdaus B;4
The Door Into Summer;348;Robert A. Heinlein;4;18231;842;Youga P;4
Planet of the Apes;8888;Pierre Boulle;0,188194444;26653;1084;Reyhan R;1
Escape From The Planet Of The Apes: The Official Authorized Adaptation Of The Classic Science Fiction Film;8892;Doug Moench;03.01;10;1;Youga P;4
Return to the Planet of the Apes #2: Escape from Terror Lagoon;8889;William Arrow;03.17;6;1;Elsa;2
Stella, Get Your Man;6435;Nancy Bartholomew;0,168055556;26;0;Riyan;5
Sophie's Last Stand;6436;Nancy Bartholomew;0,179861111;29;3;Teddy;2
Il Fool In Shakespeare: A Fellow Of Infinite Jest;6439;Roberta Mullini;03.05;2;0;Firdaus B;2
Ivanhoe;6441;Marianna Mayer;0,190277778;132;19;Firdaus B;1
Infinite Jests: The Lighter Side of Science Fiction;6437;Robert Silverberg;4;7;2;Youga P;3
Letters on an Elk Hunt by a Woman Homesteader;6448;Elinore Pruitt Stewart;04.14;217;28;Reyhan R;5
Ivanhoe;6440;Walter Scott;0,177083333;72147;1837;Youga P;5
Ivanhoe;6443;Walter Scott;0,177083333;72147;1837;Elsa;2
A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments;6438;David Foster Wallace;04.28;27165;2145;Riyan;1
